iberia.com	Orientation	Canvas, Canvas font	iberia.com	1	0.0001
vans.de	Orientation, Motion	Canvas	vans.de	1	0.0
nireeka.com	Orientation		nireeka.com	1	0.0
ae.com	Orientation, Motion	Canvas	ae.com	1	0.0003
dsw.com	Orientation, Motion	Canvas	dsw.com	1	0.0002
urbanoutfitters.com	Orientation, Motion	Canvas	urbanoutfitters.com	1	0.0006
autoscout24.de	Orientation		autoscout24.de	1	0.0004
videostripe.com	Orientation		videostripe.com	1	0.0
brooksbrothers.com	Orientation, Motion	Canvas	brooksbrothers.com	1	0.0
teacherspayteachers.com	Orientation, Motion	Canvas	teacherspayteachers.com	1	0.0001
kmart.com	Orientation, Motion	Canvas	kmart.com	1	0.0001
kohls.com	Orientation, Motion	Canvas	kohls.com	1	0.0007
twinspires.com	Orientation, Motion	Canvas	twinspires.com	1	0.0
westjet.com	Orientation	Canvas, Canvas font	westjet.com	1	0.0001
buybuybaby.com	Orientation, Motion	Canvas	buybuybaby.com	1	0.0001
ncl.com	Orientation, Motion	Canvas	ncl.com	1	0.0001
shatelland.com	Orientation		shatelland.com	1	0.0001
haozhaopian.net	Orientation		fotor.com	1	0.0002
sketchfab.com	Orientation		sketchfab.com	1	0.0002
choicehotels.com	Orientation, Motion	Canvas	choicehotels.com	1	0.0001
atza.club	Orientation		atza.club	1	0.0
marthastewartweddings.com	Orientation, Proximity, Light, Motion		marthastewartweddings.com	1	0.0
papajohns.com	Orientation, Motion	Canvas	papajohns.com	1	0.0002
abcnews.com	Orientation		abcnews.go.com	1	0.0007
videnskab.dk	Orientation		videnskab.dk	1	0.0
ledger-enquirer.com	Orientation		ledger-enquirer.com	1	0.0
thedigitalprojectmanager.com	Orientation		thedigitalprojectmanager.com	1	0.0
americanfunds.com	Orientation, Motion	Canvas	americanfunds.com	1	0.0
adidas.se	Orientation, Motion	Canvas	adidas.se	1	0.0
karusel-tv.ru	Orientation	Canvas	karusel-tv.ru	1	0.0
zerator.com	Orientation, Motion		zerator.com	1	0.0
express.com	Orientation, Motion	Canvas	express.com	1	0.0001
homedepot.com	Orientation, Motion	Canvas	homedepot.com	1	0.0026
alipayobjects.com	Orientation		alipay.com	1	0.0227
harrods.com	Orientation, Motion	Canvas	harrods.com	1	0.0
marriott.co.uk	Orientation, Motion	Canvas, Canvas font, WebRTC	marriott.co.uk	1	0.0
dp2grqeda4qqm.cloudfront.net	Orientation		omgyes.com	1	0.0
bankia.es	Orientation, Proximity, Light, Motion		bankia.es	1	0.0002
star-telegram.com	Orientation		star-telegram.com	1	0.0
userty.com	Orientation		cheapcaribbean.com	1	0.0
zalora.com.my	Orientation, Motion	Canvas	zalora.com.my	1	0.0001
carphonewarehouse.com	Orientation		carphonewarehouse.com	1	0.0001
singaporeair.com	Orientation, Motion	Canvas	singaporeair.com	1	0.0001
grundfos.com	Orientation, Motion	Canvas	grundfos.com	1	0.0
shopyourway.com	Orientation, Motion	Canvas	shopyourway.com	1	0.0
rei.com	Orientation, Motion	Canvas	rei.com	1	0.0005
360.cn	Orientation	Canvas	youxi.com	1	0.0
institutoaocp.org.br	Orientation		institutoaocp.org.br	1	0.0
openbank.es	Orientation, Motion	Canvas	openbank.es	1	0.0
usbank.com	Orientation	Canvas	usbank.com	1	0.0008
kbn.news	Orientation		kbn.news	1	0.0001
cabelas.ca	Orientation, Motion	Canvas	cabelas.ca	1	0.0
groupon.ca	Orientation, Motion	Canvas	groupon.ca	1	0.0
joomshaper.com	Orientation, Motion		joomshaper.com	1	0.0
qut.edu.au	Orientation		qut.edu.au	1	0.0001
weiwendata.com	Orientation		wewen.io	1	0.0
pornglee.com	Orientation		cumlouder.com	1	0.0003
qvc.de	Orientation, Motion	Canvas	qvc.de	1	0.0
adidas.ru	Orientation, Motion	Canvas	adidas.ru	1	0.0001
starhub.com	Orientation		starhub.com	1	0.0001
snahp.it	Orientation, Motion		snahp.it	1	0.0002
jcpenney.com	Orientation, Motion	Canvas	jcpenney.com	1	0.0004
mcclatchydc.com	Orientation		mcclatchydc.com	1	0.0
macromill.com	Orientation		macromill.com	1	0.0002
marijuanabreak.com	Orientation		marijuanabreak.com	1	0.0
iffcotokio.co.in	Orientation		iffcotokio.co.in	1	0.0
princess.com	Orientation, Motion	Canvas	princess.com	1	0.0001
navyfederal.org	Orientation, Motion	Canvas	navyfederal.org	1	0.0004
jetstar.com	Orientation, Motion	Canvas	jetstar.com	1	0.0002
qvc.com	Orientation, Motion	Canvas	qvc.com	1	0.0002
zalora.com.ph	Orientation, Motion	Canvas	zalora.com.ph	1	0.0
cdw.com	Orientation, Motion	Canvas	cdw.com	1	0.0001
pgatour.com	Orientation		pgatour.com	1	0.0004
finishline.com	Orientation, Motion	Canvas	finishline.com	1	0.0001
androidauthority.com	Orientation, Motion		androidauthority.com	1	0.0003
jjill.com	Orientation, Motion	Canvas	jjill.com	1	0.0
zalora.sg	Orientation, Motion	Canvas	zalora.sg	1	0.0
autoscout24.es	Orientation		autoscout24.es	1	0.0
kansas.com	Orientation		kansas.com	1	0.0
bostonherald.com	Orientation, Motion		bostonherald.com	1	0.0
yarportal.ru	Orientation		yarportal.ru	1	0.0
jetboy.jp	Orientation		jetboy.jp	1	0.0
pizzahut.com	Orientation, Motion	Canvas	pizzahut.com	1	0.0002
d2sdiix1bd21d9.cloudfront.net	Orientation		visitacity.com	1	0.0
cdwg.com	Orientation, Motion	Canvas	cdwg.com	1	0.0
fingerhut.com	Orientation, Motion	Canvas	fingerhut.com	1	0.0
delta.com	Orientation, Motion	Canvas	delta.com	1	0.001
bellinghamherald.com	Orientation		bellinghamherald.com	1	0.0
qatarairways.com	Orientation		qatarairways.com	1	0.0005
discoverstudentloans.com	Orientation	Canvas, Canvas font	discoverstudentloans.com	1	0.0
quizup.com	Orientation, Motion		quizup.com	1	0.0
khv.gov.ru	Orientation		khv.gov.ru	1	0.0
empireblue.com	Orientation, Motion	Canvas	empireblue.com	1	0.0
omnitagjs.com	Orientation		mopo.de	1	0.0001
aeroflot.ru	Orientation, Motion	Canvas	aeroflot.ru	1	0.0003
lowes.com	Orientation, Motion	Canvas	lowes.com	1	0.0013
timberland.com	Orientation, Motion	Canvas	timberland.com	1	0.0
cformanalytics.com	Orientation, Motion	Canvas	moosejaw.com	1	0.0
finanz.ru	Orientation		finanz.ru	1	0.0
gamespot.com	Orientation		gamespot.com	1	0.0033
delonghi.com	Orientation		delonghi.com	1	0.0
history.vn.ua	Orientation		history.vn.ua	1	0.0
cdw.ca	Orientation, Motion	Canvas	cdw.ca	1	0.0
cathaypacific.com	Orientation, Motion	Canvas	cathaypacific.com	1	0.0002
groupon.fr	Orientation, Motion	Canvas	groupon.fr	1	0.0001
gucci.com	Orientation, Motion	Canvas	gucci.com	1	0.0003
toyota.com.au	Orientation, Motion		toyota.com.au	1	0.0
zuche.com	Orientation, Motion	WebRTC	zuche.com	1	0.0
marriott.com.cn	Orientation, Motion	Canvas, Canvas font, WebRTC	marriott.com.cn	1	0.0
saksoff5th.com	Orientation, Motion	Canvas	saksoff5th.com	1	0.0001
addroplet.com	Orientation	WebRTC	washingtonexaminer.com	1	0.0001
bostoncalling.com	Orientation		bostoncalling.com	1	0.0
tiffany.com	Orientation, Motion	Canvas	tiffany.com	1	0.0001
miamiherald.com	Orientation		miamiherald.com	1	0.0002
thebay.com	Orientation, Motion	Canvas	thebay.com	1	0.0001
gilt.com	Orientation, Motion	Canvas	gilt.com	1	0.0001
ipirani.ir	Orientation		ipirani.ir	1	0.0
suzukibakery.com	Orientation		suzukibakery.com	1	0.0
kuula.co	Orientation		kuula.co	1	0.0
cabelas.com	Orientation, Motion	Canvas	cabelas.com	1	0.0002
livingsocial.com	Orientation, Motion	Canvas	livingsocial.com	1	0.0001
media-allrecipes.com	Orientation		allrecipes.com	1	0.0008
us08jdsf-weqiruws-dqidu71-kdnfueska.s3.amazonaws.com	Orientation, Motion		allrecipes.com.br	1	0.0
avnet.com	Orientation, Motion	Canvas	avnet.com	1	0.0
tractorsupply.com	Orientation, Motion	Canvas	tractorsupply.com	1	0.0001
alliedelec.com	Orientation, Light, Motion		alliedelec.com	1	0.0
sears.com	Orientation, Motion	Canvas	sears.com	1	0.0003
tacobell.com	Orientation, Motion	Canvas	tacobell.com	1	0.0001
loblaws.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	loblaws.ca	1	0.0
sanluisobispo.com	Orientation		sanluisobispo.com	1	0.0
eastbay.com	Orientation, Motion	Canvas	eastbay.com	1	0.0001
asiamiles.com	Orientation, Motion	Canvas	asiamiles.com	1	0.0
time.com	Orientation		time.com	1	0.0012
connection.com	Orientation, Motion	Canvas	connection.com	1	0.0
vans.com	Orientation, Motion	Canvas	vans.com	1	0.0001
luisaviaroma.com	Orientation, Motion	Canvas	luisaviaroma.com	1	0.0001
trunkclub.com	Orientation, Motion	Canvas	trunkclub.com	1	0.0
gayjection.com	Orientation		pichaloca.com	1	0.0
studentuniverse.com	Orientation, Motion	Canvas	studentuniverse.com	1	0.0001
autoscout24.at	Orientation		autoscout24.at	1	0.0
michaelkors.com	Orientation, Motion	Canvas	michaelkors.com	1	0.0001
freepeople.com	Orientation, Motion	Canvas	freepeople.com	1	0.0001
riyadonline.com	Orientation, Proximity, Light, Motion		riyadonline.com	1	0.0001
ceros.com	Orientation, Motion		ceros.com	1	0.0
targetimg1.com	Orientation	Canvas, Canvas font, WebRTC	target.com	1	0.0022
marriott.com.au	Orientation, Motion	Canvas	marriott.com.au	1	0.0
instaplus.pro	Orientation		instaplus.pro	1	0.0
tyingart.com	Orientation		tyingart.com	1	0.0
stubhub.co.uk	Orientation, Motion	Canvas	stubhub.co.uk	1	0.0
grainger.com	Orientation, Motion	Canvas	grainger.com	1	0.0002
toysrus.com	Orientation, Motion	Canvas	toysrus.com	1	0.0001
btmae.com	Orientation		btmae.com	1	0.0
abercrombie.com	Orientation, Motion	Canvas	abercrombie.com	1	0.0001
liveaquaria.com	Orientation, Motion	Canvas	liveaquaria.com	1	0.0
shomoos.com.sa	Orientation, Light, Motion	Canvas, WebRTC	shomoos.com.sa	1	0.0
pier1.com	Orientation, Motion	Canvas	pier1.com	1	0.0001
fedex.com	Orientation, Motion	Canvas	fedex.com	1	0.0025
virginatlantic.com	Orientation, Motion	Canvas	virginatlantic.com	1	0.0
fcbayern.com	Orientation, Motion	Canvas	fcbayern.com	1	0.0
qvcuk.com	Orientation, Motion	Canvas	qvcuk.com	1	0.0
adidas.it	Orientation, Motion	Canvas	adidas.it	1	0.0
bedbathandbeyond.com	Orientation, Motion	Canvas	bedbathandbeyond.com	1	0.0004
realcanadiansuperstore.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	realcanadiansuperstore.ca	1	0.0
pcrichard.com	Orientation, Motion	Canvas	pcrichard.com	1	0.0
kansascity.com	Orientation		kansascity.com	1	0.0001
xmtrading.com	Orientation, Motion	Canvas	xmtrading.com	1	0.0003
seirex.biz	Orientation		seirex.biz	1	0.0
groupon.es	Orientation, Motion	Canvas	groupon.es	1	0.0
360buyimg.com	Orientation		baitiao.com	1	0.0
donotcall.gov	Orientation, Light, Motion	Canvas, WebRTC	donotcall.gov	1	0.0001
mymemory.co.uk	Orientation		mymemory.co.uk	1	0.0
co-operativebank.co.uk	Orientation, Proximity, Light, Motion		co-operativebank.co.uk	1	0.0001
xm.co.uk	Orientation, Motion	Canvas	xm.co.uk	1	0.0
sacbee.com	Orientation		sacbee.com	1	0.0001
