urbanoutfitters.com	Orientation, Motion	Canvas	urbanoutfitters.com	1	0.0006	3,4
autoscout24.de	Orientation		autoscout24.de	1	0.0004	1
videostripe.com	Orientation		videostripe.com	1	0.0	2
brooksbrothers.com	Orientation, Motion	Canvas	brooksbrothers.com	1	0.0	3
teacherspayteachers.com	Orientation, Motion	Canvas	teacherspayteachers.com	1	0.0001	3
kmart.com	Orientation, Motion	Canvas	kmart.com	1	0.0001	3
kohls.com	Orientation, Motion	Canvas	kohls.com	1	0.0007	3
twinspires.com	Orientation, Motion	Canvas	twinspires.com	1	0.0	3
westjet.com	Orientation	Canvas, Canvas font	westjet.com	1	0.0001	4
buybuybaby.com	Orientation, Motion	Canvas	buybuybaby.com	1	0.0001	3
ncl.com	Orientation, Motion	Canvas	ncl.com	1	0.0001	3
shatelland.com	Orientation		shatelland.com	1	0.0001	2
haozhaopian.net	Orientation		fotor.com	1	0.0002	7
sketchfab.com	Orientation		sketchfab.com	1	0.0002	2
choicehotels.com	Orientation, Motion	Canvas	choicehotels.com	1	0.0001	3
atza.club	Orientation		atza.club	1	0.0	7
marthastewartweddings.com	Orientation, Proximity, Light, Motion		marthastewartweddings.com	1	0.0	3
papajohns.com	Orientation, Motion	Canvas	papajohns.com	1	0.0002	3
abcnews.com	Orientation		abcnews.go.com	1	0.0007	3
videnskab.dk	Orientation		videnskab.dk	1	0.0	1
ledger-enquirer.com	Orientation		ledger-enquirer.com	1	0.0	1
thedigitalprojectmanager.com	Orientation		thedigitalprojectmanager.com	1	0.0	2
americanfunds.com	Orientation, Motion	Canvas	americanfunds.com	1	0.0	3
adidas.se	Orientation, Motion	Canvas	adidas.se	1	0.0	3
karusel-tv.ru	Orientation	Canvas	karusel-tv.ru	1	0.0	2
zerator.com	Orientation, Motion		zerator.com	1	0.0	2
express.com	Orientation, Motion	Canvas	express.com	1	0.0001	3,2
homedepot.com	Orientation, Motion	Canvas	homedepot.com	1	0.0026	3
alipayobjects.com	Orientation		alipay.com	1	0.0227	1
harrods.com	Orientation, Motion	Canvas	harrods.com	1	0.0	3
marriott.co.uk	Orientation, Motion	Canvas, Canvas font, WebRTC	marriott.co.uk	1	0.0	3,4
dp2grqeda4qqm.cloudfront.net	Orientation		omgyes.com	1	0.0	2
bankia.es	Orientation, Proximity, Light, Motion		bankia.es	1	0.0002	2
star-telegram.com	Orientation		star-telegram.com	1	0.0	1
userty.com	Orientation		cheapcaribbean.com	1	0.0	2
zalora.com.my	Orientation, Motion	Canvas	zalora.com.my	1	0.0001	3
carphonewarehouse.com	Orientation		carphonewarehouse.com	1	0.0001	2
singaporeair.com	Orientation, Motion	Canvas	singaporeair.com	1	0.0001	3
grundfos.com	Orientation, Motion	Canvas	grundfos.com	1	0.0	3
shopyourway.com	Orientation, Motion	Canvas	shopyourway.com	1	0.0	3
rei.com	Orientation, Motion	Canvas	rei.com	1	0.0005	3,2
360.cn	Orientation	Canvas	youxi.com	1	0.0	2
institutoaocp.org.br	Orientation		institutoaocp.org.br	1	0.0	7
openbank.es	Orientation, Motion	Canvas	openbank.es	1	0.0	3
usbank.com	Orientation	Canvas	usbank.com	1	0.0008	3
kbn.news	Orientation		kbn.news	1	0.0001	2
cabelas.ca	Orientation, Motion	Canvas	cabelas.ca	1	0.0	3
groupon.ca	Orientation, Motion	Canvas	groupon.ca	1	0.0	3
joomshaper.com	Orientation, Motion		joomshaper.com	1	0.0	7
qut.edu.au	Orientation		qut.edu.au	1	0.0001	1
weiwendata.com	Orientation		wewen.io	1	0.0	7
pornglee.com	Orientation		cumlouder.com	1	0.0003	6
qvc.de	Orientation, Motion	Canvas	qvc.de	1	0.0	3
adidas.ru	Orientation, Motion	Canvas	adidas.ru	1	0.0001	3
starhub.com	Orientation		starhub.com	1	0.0001	5
snahp.it	Orientation, Motion		snahp.it	1	0.0002	2
jcpenney.com	Orientation, Motion	Canvas	jcpenney.com	1	0.0004	3
mcclatchydc.com	Orientation		mcclatchydc.com	1	0.0	1
macromill.com	Orientation		macromill.com	1	0.0002	7
marijuanabreak.com	Orientation		marijuanabreak.com	1	0.0	2
iffcotokio.co.in	Orientation		iffcotokio.co.in	1	0.0	1
princess.com	Orientation, Motion	Canvas	princess.com	1	0.0001	3
navyfederal.org	Orientation, Motion	Canvas	navyfederal.org	1	0.0004	3
jetstar.com	Orientation, Motion	Canvas	jetstar.com	1	0.0002	3
qvc.com	Orientation, Motion	Canvas	qvc.com	1	0.0002	3
zalora.com.ph	Orientation, Motion	Canvas	zalora.com.ph	1	0.0	3
cdw.com	Orientation, Motion	Canvas	cdw.com	1	0.0001	3
pgatour.com	Orientation		pgatour.com	1	0.0004	3
finishline.com	Orientation, Motion	Canvas	finishline.com	1	0.0001	3
androidauthority.com	Orientation, Motion		androidauthority.com	1	0.0003	2
jjill.com	Orientation, Motion	Canvas	jjill.com	1	0.0	3
zalora.sg	Orientation, Motion	Canvas	zalora.sg	1	0.0	3
autoscout24.es	Orientation		autoscout24.es	1	0.0	1
kansas.com	Orientation		kansas.com	1	0.0	1
bostonherald.com	Orientation, Motion		bostonherald.com	1	0.0	2
yarportal.ru	Orientation		yarportal.ru	1	0.0	2
jetboy.jp	Orientation		jetboy.jp	1	0.0	2
pizzahut.com	Orientation, Motion	Canvas	pizzahut.com	1	0.0002	3,2
d2sdiix1bd21d9.cloudfront.net	Orientation		visitacity.com	1	0.0	2
cdwg.com	Orientation, Motion	Canvas	cdwg.com	1	0.0	3
fingerhut.com	Orientation, Motion	Canvas	fingerhut.com	1	0.0	3
delta.com	Orientation, Motion	Canvas	delta.com	1	0.001	3
bellinghamherald.com	Orientation		bellinghamherald.com	1	0.0	1
qatarairways.com	Orientation		qatarairways.com	1	0.0005	2
discoverstudentloans.com	Orientation	Canvas, Canvas font	discoverstudentloans.com	1	0.0	4
quizup.com	Orientation, Motion		quizup.com	1	0.0	7
khv.gov.ru	Orientation		khv.gov.ru	1	0.0	7
empireblue.com	Orientation, Motion	Canvas	empireblue.com	1	0.0	3
omnitagjs.com	Orientation		mopo.de	1	0.0001	2
aeroflot.ru	Orientation, Motion	Canvas	aeroflot.ru	1	0.0003	3
lowes.com	Orientation, Motion	Canvas	lowes.com	1	0.0013	3
timberland.com	Orientation, Motion	Canvas	timberland.com	1	0.0	3
cformanalytics.com	Orientation, Motion	Canvas	moosejaw.com	1	0.0	3
finanz.ru	Orientation		finanz.ru	1	0.0	3
gamespot.com	Orientation		gamespot.com	1	0.0033	3
delonghi.com	Orientation		delonghi.com	1	0.0	2
history.vn.ua	Orientation		history.vn.ua	1	0.0	2
cdw.ca	Orientation, Motion	Canvas	cdw.ca	1	0.0	3
cathaypacific.com	Orientation, Motion	Canvas	cathaypacific.com	1	0.0002	3
groupon.fr	Orientation, Motion	Canvas	groupon.fr	1	0.0001	3
gucci.com	Orientation, Motion	Canvas	gucci.com	1	0.0003	3
toyota.com.au	Orientation, Motion		toyota.com.au	1	0.0	3,2
zuche.com	Orientation, Motion	WebRTC	zuche.com	1	0.0	2
marriott.com.cn	Orientation, Motion	Canvas, Canvas font, WebRTC	marriott.com.cn	1	0.0	3,4
saksoff5th.com	Orientation, Motion	Canvas	saksoff5th.com	1	0.0001	3
addroplet.com	Orientation	WebRTC	washingtonexaminer.com	1	0.0001	2
bostoncalling.com	Orientation		bostoncalling.com	1	0.0	2
tiffany.com	Orientation, Motion	Canvas	tiffany.com	1	0.0001	3
miamiherald.com	Orientation		miamiherald.com	1	0.0002	1
thebay.com	Orientation, Motion	Canvas	thebay.com	1	0.0001	3
gilt.com	Orientation, Motion	Canvas	gilt.com	1	0.0001	3
ipirani.ir	Orientation		ipirani.ir	1	0.0	7
suzukibakery.com	Orientation		suzukibakery.com	1	0.0	7
kuula.co	Orientation		kuula.co	1	0.0	2
cabelas.com	Orientation, Motion	Canvas	cabelas.com	1	0.0002	3
livingsocial.com	Orientation, Motion	Canvas	livingsocial.com	1	0.0001	3
media-allrecipes.com	Orientation		allrecipes.com	1	0.0008	3
us08jdsf-weqiruws-dqidu71-kdnfueska.s3.amazonaws.com	Orientation, Motion		allrecipes.com.br	1	0.0	2
avnet.com	Orientation, Motion	Canvas	avnet.com	1	0.0	3
tractorsupply.com	Orientation, Motion	Canvas	tractorsupply.com	1	0.0001	3
alliedelec.com	Orientation, Light, Motion		alliedelec.com	1	0.0	2
sears.com	Orientation, Motion	Canvas	sears.com	1	0.0003	3
tacobell.com	Orientation, Motion	Canvas	tacobell.com	1	0.0001	3
loblaws.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	loblaws.ca	1	0.0	4
sanluisobispo.com	Orientation		sanluisobispo.com	1	0.0	1
eastbay.com	Orientation, Motion	Canvas	eastbay.com	1	0.0001	3
asiamiles.com	Orientation, Motion	Canvas	asiamiles.com	1	0.0	3
time.com	Orientation		time.com	1	0.0012	2
connection.com	Orientation, Motion	Canvas	connection.com	1	0.0	3
vans.com	Orientation, Motion	Canvas	vans.com	1	0.0001	3
luisaviaroma.com	Orientation, Motion	Canvas	luisaviaroma.com	1	0.0001	3
trunkclub.com	Orientation, Motion	Canvas	trunkclub.com	1	0.0	3,2
